                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.95863,                0.95245,                  1.017,                0.59332,                0.92857,                0.71862,                0.52809,                 1.1872,                 1.0945,                 1.2064,             0.00080653,             0.00080653,             0.00080653
                     91,                0.94442,                0.85051,                0.96772,                0.85251,                0.88095,                0.87844,                 0.5848,                 1.1568,                 1.2624,                 1.2149,             0.00079945,             0.00079945,             0.00079945
                     92,                0.95241,                0.95912,                0.98267,                0.76668,                0.81142,                0.87213,                0.62193,                 1.1683,                 1.3599,                 1.1848,             0.00079238,             0.00079238,             0.00079238
                     93,                0.95806,                0.87914,                 1.0155,                0.77387,                0.68203,                0.87579,                0.64414,                 1.1411,                 1.2552,                 1.1268,             0.00078531,             0.00078531,             0.00078531
                     94,                0.97284,                0.85384,                0.96312,                0.64179,                0.87178,                  0.887,                0.64622,                 1.1474,                 1.0784,                 1.1487,             0.00077823,             0.00077823,             0.00077823
                     95,                0.96406,                0.85284,                0.99024,                0.87709,                0.79527,                0.89283,                0.60945,                 1.1857,                 1.0097,                 1.1701,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.0269,                0.88986,                 1.0199,                0.91135,                0.77097,                0.87976,                 0.5479,                 1.2363,                 1.1061,                 1.1461,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.0048,                0.84499,                 0.9768,                0.84474,                0.76185,                 0.8738,                0.54967,                 1.3143,                 1.1259,                 1.2168,             0.00075701,             0.00075701,             0.00075701
                     98,                0.96815,                0.83556,                0.98128,                0.86878,                0.81786,                0.88595,                0.55309,                 1.2481,                 1.1314,                 1.2203,             0.00074994,             0.00074994,             0.00074994
                     99,                0.94959,                0.78811,                0.99424,                0.71943,                0.89286,                0.86661,                0.57262,                 1.1986,                 1.1737,                 1.1733,             0.00074287,             0.00074287,             0.00074287
